param,aic
"[(2, 1, 0), (3, 0, 3, 5)]",13927.9822273346
"[(2, 1, 0), (3, 0, 2, 5)]",13933.29082990275
"[(3, 1, 2), (1, 0, 2, 5)]",13933.526767455
"[(3, 1, 2), (3, 0, 0, 5)]",13933.721800345416
"[(3, 1, 0), (1, 0, 0, 7)]",13935.554786418754
"[(3, 1, 2), (2, 0, 0, 5)]",13936.475701589748
"[(1, 1, 0), (2, 0, 0, 7)]",13944.122508114928
"[(3, 1, 2), (1, 0, 0, 5)]",13945.48028614696
"[(3, 1, 2), (2, 0, 1, 5)]",13949.31099150029
"[(2, 1, 0), (0, 0, 3, 7)]",13951.71973914736
"[(2, 1, 0), (2, 0, 3, 5)]",13952.22651699327
"[(3, 1, 2), (0, 0, 2, 5)]",13953.994062912627
"[(3, 1, 2), (0, 0, 1, 5)]",13955.889538709565
"[(3, 1, 2), (1, 0, 1, 5)]",13957.573024359837
"[(3, 1, 0), (0, 0, 2, 7)]",13980.237078949407
"[(2, 1, 3), (0, 0, 0, 2)]",13986.971838366062
"[(2, 1, 3), (0, 0, 0, 7)]",13986.971838366062
"[(2, 1, 3), (0, 0, 0, 5)]",13986.971838366062
"[(3, 1, 3), (0, 0, 2, 5)]",13999.560866930427
"[(3, 1, 3), (1, 0, 2, 5)]",14001.358328074348
"[(3, 1, 3), (0, 0, 3, 5)]",14001.37335711933
"[(3, 1, 2), (0, 0, 0, 2)]",14002.263761500535
"[(3, 1, 2), (0, 0, 0, 5)]",14002.263761500535
"[(3, 1, 2), (0, 0, 0, 7)]",14002.263761500535
"[(3, 1, 3), (1, 0, 3, 5)]",14003.388214109385
"[(3, 1, 3), (2, 0, 1, 5)]",14003.780717482006
"[(3, 1, 3), (2, 0, 0, 5)]",14003.909635988148
"[(3, 1, 3), (3, 0, 1, 5)]",14004.309642469469
"[(3, 1, 3), (3, 0, 0, 5)]",14005.774694226464
"[(1, 1, 3), (0, 0, 2, 5)]",14011.48183628933
"[(1, 1, 3), (0, 0, 3, 5)]",14013.48171065385
"[(1, 1, 3), (1, 0, 2, 5)]",14013.481761580171
"[(1, 1, 3), (2, 0, 0, 5)]",14014.121855133551
"[(1, 1, 3), (1, 0, 3, 5)]",14015.480539059638
"[(1, 1, 3), (2, 0, 1, 5)]",14016.032557854971
"[(1, 1, 3), (3, 0, 0, 5)]",14016.042435317966
"[(1, 1, 3), (3, 0, 1, 5)]",14018.115412690786
"[(3, 1, 1), (1, 0, 3, 5)]",14019.657139163008
"[(3, 1, 1), (0, 0, 2, 2)]",14020.737927451904
"[(3, 1, 1), (0, 0, 3, 2)]",14022.439505840011
"[(2, 1, 3), (1, 0, 0, 5)]",14026.11069867539
"[(3, 1, 1), (0, 0, 2, 5)]",14030.057863043385
"[(3, 1, 1), (2, 0, 0, 5)]",14030.680454483481
"[(0, 1, 0), (3, 0, 1, 7)]",14031.023437462201
"[(2, 1, 1), (0, 0, 3, 2)]",14031.726295266992
"[(3, 1, 1), (1, 0, 2, 5)]",14031.858050914976
"[(0, 1, 0), (1, 0, 3, 7)]",14031.860410682923
"[(3, 1, 1), (0, 0, 3, 5)]",14031.936716531067
"[(3, 1, 1), (3, 0, 0, 5)]",14032.507141260807
"[(3, 1, 1), (2, 0, 1, 5)]",14032.51893553473
"[(0, 1, 1), (1, 0, 3, 2)]",14032.9338439621
"[(1, 1, 1), (1, 0, 3, 2)]",14033.032257433355
"[(3, 1, 1), (3, 0, 1, 5)]",14034.505720130022
"[(1, 1, 0), (3, 0, 2, 2)]",14035.35202576146
"[(1, 1, 1), (1, 0, 2, 2)]",14037.365105330126
"[(1, 1, 3), (3, 0, 0, 2)]",14038.175309425442
"[(3, 1, 1), (1, 0, 1, 5)]",14038.23224306892
"[(0, 1, 1), (1, 0, 2, 2)]",14038.975831085705
"[(1, 1, 0), (1, 0, 3, 2)]",14039.240756937867
"[(0, 1, 0), (2, 0, 1, 7)]",14039.387655048315
"[(0, 1, 0), (1, 0, 1, 7)]",14039.551593628683
"[(0, 1, 0), (1, 0, 2, 7)]",14039.673845631001
"[(3, 1, 0), (0, 0, 3, 2)]",14040.796246051836
"[(2, 1, 1), (0, 0, 2, 2)]",14040.811594528788
"[(1, 1, 3), (2, 0, 0, 2)]",14041.525832380561
"[(0, 1, 0), (3, 0, 3, 7)]",14042.154582649866
"[(0, 1, 0), (2, 0, 2, 7)]",14042.722414899225
"[(0, 1, 0), (3, 0, 2, 7)]",14042.922318045968
