param,aic
"[(2, 1, 1), (0, 0, 2, 5)]",14001.285666916141
"[(3, 1, 2), (3, 0, 0, 5)]",14001.377168611238
"[(2, 1, 2), (3, 0, 1, 5)]",14001.38487095837
"[(1, 1, 1), (1, 0, 2, 5)]",14001.573533894649
"[(2, 1, 2), (1, 0, 2, 5)]",14001.712583632132
"[(2, 1, 2), (0, 0, 3, 5)]",14001.757328966083
"[(3, 1, 2), (2, 0, 1, 5)]",14001.759569092443
"[(1, 1, 2), (1, 0, 3, 5)]",14001.869672369547
"[(0, 1, 3), (0, 0, 2, 5)]",14002.247312071639
"[(2, 1, 1), (2, 0, 0, 5)]",14003.035376870252
"[(1, 1, 3), (2, 0, 0, 2)]",14003.04321076898
"[(3, 1, 2), (1, 0, 2, 5)]",14003.055789906095
"[(3, 1, 2), (0, 0, 3, 5)]",14003.055840131301
"[(2, 1, 1), (1, 0, 2, 5)]",14003.2819545754
"[(2, 1, 1), (0, 0, 3, 5)]",14003.29298526327
"[(3, 1, 2), (3, 0, 1, 5)]",14003.366546782587
"[(0, 1, 3), (2, 0, 0, 5)]",14003.58983125768
"[(2, 1, 2), (1, 0, 3, 5)]",14003.716441187613
"[(2, 1, 1), (3, 0, 0, 5)]",14003.984923324948
"[(1, 1, 3), (3, 0, 0, 2)]",14004.111259616753
"[(2, 1, 1), (2, 0, 1, 5)]",14004.14393461946
"[(0, 1, 3), (3, 0, 0, 5)]",14004.176293949045
"[(0, 1, 3), (0, 0, 3, 5)]",14004.242469825833
"[(0, 1, 3), (1, 0, 2, 5)]",14004.246499847253
"[(0, 1, 3), (2, 0, 1, 5)]",14004.415976636312
"[(3, 1, 2), (1, 0, 3, 5)]",14005.042632124783
"[(2, 1, 1), (1, 0, 3, 5)]",14005.275137299624
"[(0, 1, 1), (1, 0, 3, 5)]",14005.814226255141
"[(2, 1, 1), (3, 0, 1, 5)]",14005.982487556512
"[(0, 1, 3), (3, 0, 1, 5)]",14006.17877145403
"[(0, 1, 3), (1, 0, 3, 5)]",14006.22718351684
"[(0, 1, 2), (0, 0, 2, 5)]",14006.568668968586
"[(3, 1, 1), (0, 0, 1, 5)]",14006.687306909502
"[(0, 1, 2), (2, 0, 0, 5)]",14006.69601287071
"[(0, 1, 2), (3, 0, 0, 5)]",14007.163266087013
"[(0, 1, 2), (2, 0, 1, 5)]",14007.571924467571
"[(1, 1, 1), (2, 0, 0, 5)]",14007.62995537312
"[(1, 1, 1), (3, 0, 0, 5)]",14007.841975614905
"[(1, 1, 1), (0, 0, 2, 5)]",14008.016160857846
"[(3, 1, 1), (1, 0, 0, 5)]",14008.043753954526
"[(1, 1, 1), (2, 0, 1, 5)]",14008.339062715379
"[(0, 1, 2), (0, 0, 3, 5)]",14008.37079214487
"[(0, 1, 2), (3, 0, 1, 5)]",14009.16707817377
"[(1, 1, 1), (0, 0, 3, 5)]",14009.596010364341
"[(0, 1, 1), (3, 0, 0, 5)]",14009.794771651612
"[(1, 1, 1), (3, 0, 1, 5)]",14009.831156177836
"[(0, 1, 1), (1, 0, 2, 5)]",14009.88181489697
"[(3, 1, 1), (0, 0, 0, 7)]",14010.230704512564
"[(3, 1, 1), (0, 0, 0, 5)]",14010.230704512564
"[(3, 1, 1), (0, 0, 0, 2)]",14010.230704512564
"[(0, 1, 1), (2, 0, 1, 5)]",14011.022009719109
"[(0, 1, 1), (2, 0, 0, 5)]",14011.359335674462
"[(0, 1, 1), (3, 0, 1, 5)]",14011.722736951182
"[(1, 1, 2), (3, 0, 0, 2)]",14013.540262878163
"[(2, 1, 1), (0, 0, 2, 2)]",14013.788668415376
"[(2, 1, 2), (1, 0, 1, 5)]",14013.79300208633
"[(0, 1, 3), (2, 0, 0, 2)]",14013.858604332512
"[(3, 1, 1), (0, 0, 1, 2)]",14014.750708260337
"[(1, 1, 2), (1, 0, 1, 5)]",14014.865485794819
"[(0, 1, 1), (0, 0, 3, 5)]",14014.993189818731
"[(1, 1, 0), (1, 0, 2, 2)]",14015.303997482444
"[(2, 1, 1), (0, 0, 3, 2)]",14015.398339041521
"[(0, 1, 2), (3, 0, 0, 2)]",14015.552705708029
"[(1, 1, 1), (3, 0, 0, 2)]",14015.563697474769
"[(0, 1, 1), (0, 0, 2, 5)]",14015.609944321102
"[(3, 1, 2), (1, 0, 1, 5)]",14015.765051389146
"[(0, 1, 3), (3, 0, 0, 2)]",14015.795842177069
"[(1, 1, 1), (2, 0, 0, 2)]",14015.820417371016
"[(0, 1, 2), (2, 0, 0, 2)]",14015.954400750474
"[(1, 1, 1), (2, 0, 1, 2)]",14016.394198654114
"[(3, 1, 0), (0, 0, 2, 2)]",14016.693589290102
"[(1, 1, 1), (0, 0, 2, 2)]",14016.80897925147
"[(1, 1, 0), (3, 0, 1, 2)]",14017.031732578569
"[(1, 1, 1), (0, 0, 3, 2)]",14017.345034773816
"[(2, 1, 0), (0, 0, 3, 2)]",14018.782428898721
