param,smape
"(250, 0.01, 3, 0.2, 1)",15.122249
"(250, 0.01, 3, 0.2, 3)",15.122249
"(250, 0.01, 3, 0.2, 5)",15.122249
"(150, 0.01, 6, 0.0, 1)",22.97267727
"(150, 0.01, 6, 0.0, 3)",22.97267727
"(150, 0.01, 6, 0.0, 5)",22.97267727
"(150, 0.01, 6, 0.1, 1)",22.97267727
"(150, 0.01, 6, 0.1, 3)",22.97267727
"(150, 0.01, 6, 0.1, 5)",22.97267727
"(150, 0.01, 6, 0.2, 1)",22.97267727
"(150, 0.01, 6, 0.2, 3)",22.97267727
"(150, 0.01, 6, 0.2, 5)",22.97267727
"(150, 0.01, 10, 0.0, 5)",23.1977557
"(150, 0.01, 3, 0.0, 1)",23.20317322
"(150, 0.01, 3, 0.0, 3)",23.20317322
"(150, 0.01, 3, 0.0, 5)",23.20317322
